ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
MMM,3M Co,2026-06-24,1,160.3271,161.84,-0.93
MMM,3M Co,2026-06-25,2,159.5442,161.84,-1.42
MMM,3M Co,2026-06-26,3,159.2017,161.84,-1.63
MMM,3M Co,2026-06-29,4,158.2889,161.84,-2.19
MMM,3M Co,2026-06-30,5,157.8554,161.84,-2.46
MMM,3M Co,2026-07-01,6,156.8885,161.84,-3.06
MMM,3M Co,2026-07-02,7,156.4448,161.84,-3.33
MMM,3M Co,2026-07-03,8,156.0908,161.84,-3.55
MMM,3M Co,2026-07-06,9,156.2884,161.84,-3.43
MMM,3M Co,2026-07-07,10,156.1731,161.84,-3.5
MMM,3M Co,2026-07-08,11,156.0674,161.84,-3.57
MMM,3M Co,2026-07-09,12,155.2783,161.84,-4.05
MMM,3M Co,2026-07-10,13,155.1371,161.84,-4.14
MMM,3M Co,2026-07-13,14,154.7624,161.84,-4.37
MMM,3M Co,2026-07-14,15,154.6367,161.84,-4.45
MMM,3M Co,2026-07-15,16,154.0687,161.84,-4.8
MMM,3M Co,2026-07-16,17,153.8113,161.84,-4.96
MMM,3M Co,2026-07-17,18,153.656,161.84,-5.06
MMM,3M Co,2026-07-20,19,153.1561,161.84,-5.37
MMM,3M Co,2026-07-21,20,153.6453,161.84,-5.06
MMM,3M Co,2026-07-22,21,153.254,161.84,-5.31
ABT,Abbott Laboratories,2026-06-24,1,108.7238,90.53,20.1
ABT,Abbott Laboratories,2026-06-25,2,116.8853,90.53,29.11
ABT,Abbott Laboratories,2026-06-26,3,119.7651,90.53,32.29
ABT,Abbott Laboratories,2026-06-29,4,122.3378,90.53,35.14
ABT,Abbott Laboratories,2026-06-30,5,122.7465,90.53,35.59
ABT,Abbott Laboratories,2026-07-01,6,122.2909,90.53,35.08
ABT,Abbott Laboratories,2026-07-02,7,122.7705,90.53,35.61
ABT,Abbott Laboratories,2026-07-03,8,122.9181,90.53,35.78
ABT,Abbott Laboratories,2026-07-06,9,123.7724,90.53,36.72
ABT,Abbott Laboratories,2026-07-07,10,124.3771,90.53,37.39
ABT,Abbott Laboratories,2026-07-08,11,124.134,90.53,37.12
ABT,Abbott Laboratories,2026-07-09,12,124.0306,90.53,37.0
ABT,Abbott Laboratories,2026-07-10,13,124.0246,90.53,37.0
ABT,Abbott Laboratories,2026-07-13,14,124.5917,90.53,37.62
ABT,Abbott Laboratories,2026-07-14,15,124.5987,90.53,37.63
ABT,Abbott Laboratories,2026-07-15,16,124.4025,90.53,37.42
ABT,Abbott Laboratories,2026-07-16,17,124.2542,90.53,37.25
ABT,Abbott Laboratories,2026-07-17,18,123.5358,90.53,36.46
ABT,Abbott Laboratories,2026-07-20,19,122.7327,90.53,35.57
