ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
AAPL,Apple Inc,2026-04-14,1,258.4453,259.2,-0.29
AAPL,Apple Inc,2026-04-15,2,259.0046,259.2,-0.08
AAPL,Apple Inc,2026-04-16,3,258.2323,259.2,-0.37
AAPL,Apple Inc,2026-04-17,4,258.0972,259.2,-0.43
AAPL,Apple Inc,2026-04-20,5,258.7385,259.2,-0.18
AAPL,Apple Inc,2026-04-21,6,259.1314,259.2,-0.03
AAPL,Apple Inc,2026-04-22,7,259.8105,259.2,0.24
AAPL,Apple Inc,2026-04-23,8,260.2975,259.2,0.42
AAPL,Apple Inc,2026-04-24,9,261.1107,259.2,0.74
AAPL,Apple Inc,2026-04-27,10,261.7125,259.2,0.97
AAPL,Apple Inc,2026-04-28,11,262.2103,259.2,1.16
AAPL,Apple Inc,2026-04-29,12,263.8634,259.2,1.8
AAPL,Apple Inc,2026-04-30,13,264.2816,259.2,1.96
AAPL,Apple Inc,2026-05-01,14,264.9758,259.2,2.23
AAPL,Apple Inc,2026-05-04,15,265.4382,259.2,2.41
AAPL,Apple Inc,2026-05-05,16,265.0908,259.2,2.27
AAPL,Apple Inc,2026-05-06,17,266.1411,259.2,2.68
AAPL,Apple Inc,2026-05-07,18,266.8518,259.2,2.95
AAPL,Apple Inc,2026-05-08,19,267.4266,259.2,3.17
AAPL,Apple Inc,2026-05-11,20,270.4415,259.2,4.34
AAPL,Apple Inc,2026-05-12,21,271.1169,259.2,4.6
AMZN,Amazon.com Inc,2026-04-14,1,237.9802,239.89,-0.8
AMZN,Amazon.com Inc,2026-04-15,2,236.8628,239.89,-1.26
AMZN,Amazon.com Inc,2026-04-16,3,236.8205,239.89,-1.28
AMZN,Amazon.com Inc,2026-04-17,4,236.254,239.89,-1.52
AMZN,Amazon.com Inc,2026-04-20,5,236.0741,239.89,-1.59
AMZN,Amazon.com Inc,2026-04-21,6,234.9545,239.89,-2.06
AMZN,Amazon.com Inc,2026-04-22,7,235.4712,239.89,-1.84
AMZN,Amazon.com Inc,2026-04-23,8,235.4693,239.89,-1.84
AMZN,Amazon.com Inc,2026-04-24,9,235.4241,239.89,-1.86
AMZN,Amazon.com Inc,2026-04-27,10,235.6418,239.89,-1.77
AMZN,Amazon.com Inc,2026-04-28,11,232.7304,239.89,-2.98
AMZN,Amazon.com Inc,2026-04-29,12,231.8371,239.89,-3.36
AMZN,Amazon.com Inc,2026-04-30,13,232.3459,239.89,-3.14
AMZN,Amazon.com Inc,2026-05-01,14,232.1475,239.89,-3.23
AMZN,Amazon.com Inc,2026-05-04,15,231.4505,239.89,-3.52
AMZN,Amazon.com Inc,2026-05-05,16,231.1891,239.89,-3.63
AMZN,Amazon.com Inc,2026-05-06,17,230.2273,239.89,-4.03
AMZN,Amazon.com Inc,2026-05-07,18,229.154,239.89,-4.48
AMZN,Amazon.com Inc,2026-05-08,19,227.9114,239.89,-4.99
AMZN,Amazon.com Inc,2026-05-11,20,228.4997,239.89,-4.75
AMZN,Amazon.com Inc,2026-05-12,21,227.8265,239.89,-5.03
AVGO,Broadcom Inc,2026-04-14,1,382.5297,379.75,0.73
AVGO,Broadcom Inc,2026-04-15,2,378.8656,379.75,-0.23
AVGO,Broadcom Inc,2026-04-16,3,378.0613,379.75,-0.44
AVGO,Broadcom Inc,2026-04-17,4,375.6078,379.75,-1.09
AVGO,Broadcom Inc,2026-04-20,5,373.3581,379.75,-1.68
AVGO,Broadcom Inc,2026-04-21,6,368.8911,379.75,-2.86
