ticker,name,last_close,dollar_vol_20d,rsi,sma200,wma20,ema9,ema21,macd,macd_signal,below_sma200,below_wma20,cross_up,cross_down,rsi_buy,rsi_sell,p_tbv,tbvps,fcf,debt_to_equity,current_ratio,tbv_yoy,q_ptbv,q_fcf,q_dte,q_cr,q_tbv_growth,value_hit,confluence
WB,Weibo Corp,7.33,12499442.0,25.19,9.984,8.755,7.5669,7.7782,-0.2276,-0.2056,True,True,False,False,True,False,0.4924,14.8855,,0.4743,3.021,0.1384,True,False,True,True,True,False,3
AGRO,Adecoagro SA,9.24,10683833.0,23.42,9.9037,11.817,10.594,11.4965,-0.836,-0.5882,True,True,False,False,True,False,0.8967,10.3044,-72121248.0,1.1627,1.736,0.0522,True,False,False,True,True,False,3
BABA,Alibaba Group,107.1,1342498465.0,25.14,148.9412,132.1924,112.7892,118.9906,-6.009,-4.6801,True,True,False,False,True,False,2.1459,49.9089,-44074250240.0,0.2501,1.282,0.0902,False,False,True,True,True,False,3
HMY,Harmony Gold Mining,17.01,75634555.0,51.94,18.199,17.3949,16.7027,16.6924,-0.0422,-0.1351,True,True,True,False,False,False,3.3632,5.0577,15133625344.0,0.2547,0.542,0.1737,False,True,True,False,True,False,3
GLOB,Globant SA,30.74,61818846.0,28.28,54.1889,44.025,35.7619,37.6423,-1.7707,-1.1905,True,True,False,False,True,False,8.9396,3.4386,267834880.0,0.2112,1.818,0.4261,False,True,True,True,True,False,3
ACN,Accenture PLC,127.98,1107137850.0,20.86,224.5796,190.2995,159.9273,168.882,-7.533,-3.6246,True,True,False,False,True,False,12.5874,10.1673,12135369728.0,0.2504,1.339,0.4652,False,True,True,True,True,False,3
ADBE,Adobe Inc,195.16,1824001659.0,27.79,295.2989,246.67,213.7733,228.8294,-12.7043,-6.7798,True,True,False,False,True,False,,,9218374656.0,0.6144,0.751,-4.2318,False,True,True,False,False,False,3
T,AT&T Inc,22.01,1150002332.0,29.64,25.8942,26.3395,22.915,23.5787,-0.7235,-0.6704,True,True,False,False,True,False,,,8849000448.0,1.2517,0.918,,False,True,False,False,False,False,3
BAK,Braskem SA,2.94,9408405.0,28.04,3.4255,3.8913,3.4893,3.7738,-0.243,-0.144,True,True,False,False,True,False,,,-6892624896.0,,0.71,,False,False,False,False,False,False,3
BNG,Bunge Global SA,0.095,24.0,4.76,189.0882,222.8897,216.2895,239.475,-13.4248,4.8281,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
SBS,Cia Saneamento Basico,5.25,34742640.0,25.61,21.3169,17.5583,5.4212,5.8369,-0.8119,-1.1125,True,True,False,False,True,False,,,-10152844288.0,1.1784,1.739,,False,False,False,True,False,False,3
ASR,Grupo Aeroportuario Sur,308.21,21205028.0,57.8,322.0047,323.9571,297.0805,296.3269,-1.372,-4.2739,True,True,True,False,False,False,,,3374900224.0,0.7152,3.393,,False,True,True,True,False,False,3
NFLX,Netflix Inc,77.38,3243011122.0,28.03,98.3451,89.3035,79.9175,82.687,-2.9244,-2.5915,True,True,False,False,True,False,,,25993676800.0,0.5379,1.407,,False,True,True,True,False,False,3
NSANY,Nissan Motor Co,4.3,826285.0,44.26,4.7983,4.6975,4.3662,4.4441,-0.075,-0.0605,True,True,False,False,False,False,0.262,16.4103,-1249823555584.0,1.7018,1.56,-0.1818,True,False,False,True,False,False,2
HMC,Honda Motor Co,26.26,54696226.0,49.73,28.8736,26.584,26.5813,26.4244,0.2717,0.4087,True,True,False,False,False,False,0.4983,52.701,-1265908449280.0,1.1357,1.281,-0.015,True,False,False,True,False,False,2
KEP,Korea Electric Power,13.0,14595102.0,47.16,16.0353,15.8395,12.9187,13.0599,-0.2856,-0.4417,True,True,False,False,False,False,0.5171,25.1409,5256119844864.0,2.5555,0.429,0.211,True,True,False,False,True,False,2
BSBR,Banco Santander Brasil,5.2,7888022.0,36.78,5.9322,5.892,5.3363,5.4015,-0.0886,-0.1036,True,True,False,False,False,False,0.5407,9.6174,,,,0.0609,True,False,False,False,True,False,2
MBGAF,Mercedes-Benz Group AG,51.53,1644714.0,30.22,64.0008,61.121,54.8959,56.4147,-1.4179,-0.9777,True,True,False,False,False,False,0.5698,90.4364,-4120750080.0,1.0452,1.389,-0.0065,True,False,False,True,False,False,2
GT,Goodyear Tire & Rubber,6.19,51692468.0,51.14,7.6947,7.0715,6.1586,6.1145,-0.0153,-0.0926,True,True,False,False,False,False,0.7573,8.1736,145750000.0,2.5306,1.04,-0.1897,True,True,False,True,False,False,2
ERIC,Ericsson LM,11.38,134349299.0,38.17,10.3649,11.6902,11.9377,12.2664,-0.2164,-0.0188,False,True,False,False,False,False,0.7616,14.9425,29486125056.0,0.381,1.121,1.0716,True,True,True,True,True,True,2
LND,BrasilAgro,3.57,200131.0,33.47,3.8459,3.9335,3.6773,3.7311,-0.0568,-0.0486,True,True,False,False,False,False,0.8866,4.0265,-162346256.0,0.7074,1.474,-0.0091,True,False,True,True,False,False,2
AIG,American International Group,74.02,281929741.0,45.7,77.086,76.2648,74.5284,74.711,-0.2917,-0.4097,True,True,False,False,False,False,1.0652,69.4892,9517249536.0,0.2265,0.611,-0.0369,False,True,True,False,False,False,2
PAGS,PagSeguro Digital,8.82,28701087.0,43.17,9.92,9.8783,8.8762,9.0207,-0.2005,-0.2447,True,True,False,False,False,False,1.1098,7.9475,5231180800.0,0.1759,1.425,-0.0234,False,True,True,True,False,False,2
LAC,Lithium Americas Corp,4.37,62498182.0,40.99,5.0665,4.641,4.5173,4.7189,-0.1824,-0.1306,True,True,False,False,False,False,1.1295,3.869,-1303825280.0,0.468,7.36,0.6673,False,False,True,True,True,False,2
BBD,Banco Bradesco,3.36,93767816.0,40.88,3.5349,3.6906,3.4169,3.4609,-0.061,-0.0748,True,True,False,False,False,False,1.1692,2.8738,,,,0.0554,False,False,False,False,True,False,2
BIDU,Baidu Inc,111.76,306819613.0,34.45,127.7626,124.875,116.5466,122.3104,-5.019,-3.1825,True,True,False,False,False,False,1.2416,90.0129,7958624768.0,0.322,1.852,-0.0618,False,True,True,True,False,False,2
STNE,StoneCo Ltd,10.59,54025950.0,43.0,15.0645,13.0842,10.8538,10.9319,-0.134,-0.1645,True,True,False,False,False,False,1.3337,7.9404,2311869440.0,1.3364,1.335,0.4258,False,True,False,True,True,False,2
PBR,Petrobras,16.75,281621895.0,26.81,15.5042,18.7058,17.4746,18.209,-0.7476,-0.6424,False,True,False,False,True,False,1.3355,12.5421,82932752384.0,0.8327,0.743,0.1389,False,True,True,False,True,False,2
E,ENI SPA,48.95,18318753.0,29.34,43.5037,51.3361,51.5802,52.7419,-0.9251,-0.3985,False,True,False,False,True,False,1.453,33.6896,-939374976.0,0.6736,1.16,-0.0956,False,False,True,True,False,False,2
