ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
AAPL,Apple Inc,2026-06-19,1,261.7394,298.01,-12.17
AAPL,Apple Inc,2026-06-22,2,249.0618,298.01,-16.43
AAPL,Apple Inc,2026-06-23,3,242.803,298.01,-18.53
AAPL,Apple Inc,2026-06-24,4,241.306,298.01,-19.03
AAPL,Apple Inc,2026-06-25,5,239.3146,298.01,-19.7
AAPL,Apple Inc,2026-06-26,6,238.8407,298.01,-19.85
AAPL,Apple Inc,2026-06-29,7,238.478,298.01,-19.98
AAPL,Apple Inc,2026-06-30,8,237.5408,298.01,-20.29
AAPL,Apple Inc,2026-07-01,9,235.6906,298.01,-20.91
AAPL,Apple Inc,2026-07-02,10,234.4353,298.01,-21.33
AAPL,Apple Inc,2026-07-03,11,234.154,298.01,-21.43
AAPL,Apple Inc,2026-07-06,12,234.3885,298.01,-21.35
AAPL,Apple Inc,2026-07-07,13,233.2934,298.01,-21.72
AAPL,Apple Inc,2026-07-08,14,232.7289,298.01,-21.91
AAPL,Apple Inc,2026-07-09,15,231.9866,298.01,-22.15
AAPL,Apple Inc,2026-07-10,16,231.0917,298.01,-22.46
AAPL,Apple Inc,2026-07-13,17,229.7954,298.01,-22.89
AAPL,Apple Inc,2026-07-14,18,227.2104,298.01,-23.76
AAPL,Apple Inc,2026-07-15,19,225.059,298.01,-24.48
AAPL,Apple Inc,2026-07-16,20,224.2892,298.01,-24.74
AAPL,Apple Inc,2026-07-17,21,223.2938,298.01,-25.07
AMZN,Amazon.com Inc,2026-06-19,1,238.4266,244.39,-2.44
AMZN,Amazon.com Inc,2026-06-22,2,231.9666,244.39,-5.08
AMZN,Amazon.com Inc,2026-06-23,3,229.195,244.39,-6.22
AMZN,Amazon.com Inc,2026-06-24,4,226.621,244.39,-7.27
AMZN,Amazon.com Inc,2026-06-25,5,224.0069,244.39,-8.34
AMZN,Amazon.com Inc,2026-06-26,6,222.9063,244.39,-8.79
AMZN,Amazon.com Inc,2026-06-29,7,221.3586,244.39,-9.42
AMZN,Amazon.com Inc,2026-06-30,8,220.771,244.39,-9.66
AMZN,Amazon.com Inc,2026-07-01,9,219.2606,244.39,-10.28
AMZN,Amazon.com Inc,2026-07-02,10,218.6673,244.39,-10.53
AMZN,Amazon.com Inc,2026-07-03,11,218.2443,244.39,-10.7
AMZN,Amazon.com Inc,2026-07-06,12,217.7036,244.39,-10.92
AMZN,Amazon.com Inc,2026-07-07,13,217.6344,244.39,-10.95
AMZN,Amazon.com Inc,2026-07-08,14,217.218,244.39,-11.12
AMZN,Amazon.com Inc,2026-07-09,15,217.3955,244.39,-11.05
AMZN,Amazon.com Inc,2026-07-10,16,217.1234,244.39,-11.16
AMZN,Amazon.com Inc,2026-07-13,17,215.2576,244.39,-11.92
AMZN,Amazon.com Inc,2026-07-14,18,213.4828,244.39,-12.65
AMZN,Amazon.com Inc,2026-07-15,19,213.0972,244.39,-12.8
AMZN,Amazon.com Inc,2026-07-16,20,212.7657,244.39,-12.94
AMZN,Amazon.com Inc,2026-07-17,21,211.609,244.39,-13.41
AVGO,Broadcom Inc,2026-06-19,1,363.3582,411.35,-11.67
AVGO,Broadcom Inc,2026-06-22,2,315.8208,411.35,-23.22
AVGO,Broadcom Inc,2026-06-23,3,290.8392,411.35,-29.3
AVGO,Broadcom Inc,2026-06-24,4,283.1984,411.35,-31.15
AVGO,Broadcom Inc,2026-06-25,5,276.5402,411.35,-32.77
AVGO,Broadcom Inc,2026-06-26,6,272.4091,411.35,-33.78
AVGO,Broadcom Inc,2026-06-29,7,268.9824,411.35,-34.61
AVGO,Broadcom Inc,2026-06-30,8,267.3775,411.35,-35.0
AVGO,Broadcom Inc,2026-07-01,9,264.572,411.35,-35.68
AVGO,Broadcom Inc,2026-07-02,10,261.258,411.35,-36.49
AVGO,Broadcom Inc,2026-07-03,11,258.0452,411.35,-37.27
AVGO,Broadcom Inc,2026-07-06,12,255.9034,411.35,-37.79
AVGO,Broadcom Inc,2026-07-07,13,254.5351,411.35,-38.12
AVGO,Broadcom Inc,2026-07-08,14,251.8315,411.35,-38.78
AVGO,Broadcom Inc,2026-07-09,15,251.7679,411.35,-38.79
AVGO,Broadcom Inc,2026-07-10,16,251.1762,411.35,-38.94
AVGO,Broadcom Inc,2026-07-13,17,248.0449,411.35,-39.7
AVGO,Broadcom Inc,2026-07-14,18,244.4804,411.35,-40.57
AVGO,Broadcom Inc,2026-07-15,19,241.6594,411.35,-41.25
AVGO,Broadcom Inc,2026-07-16,20,239.0889,411.35,-41.88
AVGO,Broadcom Inc,2026-07-17,21,235.4544,411.35,-42.76
FXI,iShares China Large-Cap ETF,2026-06-19,1,33.6343,33.3,1.0
FXI,iShares China Large-Cap ETF,2026-06-22,2,33.6467,33.3,1.04
FXI,iShares China Large-Cap ETF,2026-06-23,3,33.8742,33.3,1.72
FXI,iShares China Large-Cap ETF,2026-06-24,4,34.0037,33.3,2.11
FXI,iShares China Large-Cap ETF,2026-06-25,5,34.0556,33.3,2.27
FXI,iShares China Large-Cap ETF,2026-06-26,6,34.1843,33.3,2.66
FXI,iShares China Large-Cap ETF,2026-06-29,7,34.2419,33.3,2.83
FXI,iShares China Large-Cap ETF,2026-06-30,8,34.3033,33.3,3.01
FXI,iShares China Large-Cap ETF,2026-07-01,9,34.3673,33.3,3.2
FXI,iShares China Large-Cap ETF,2026-07-02,10,34.2924,33.3,2.98
FXI,iShares China Large-Cap ETF,2026-07-03,11,34.3012,33.3,3.01
FXI,iShares China Large-Cap ETF,2026-07-06,12,34.3202,33.3,3.06
FXI,iShares China Large-Cap ETF,2026-07-07,13,34.4549,33.3,3.47
FXI,iShares China Large-Cap ETF,2026-07-08,14,34.4348,33.3,3.41
FXI,iShares China Large-Cap ETF,2026-07-09,15,34.4476,33.3,3.45
FXI,iShares China Large-Cap ETF,2026-07-10,16,34.4553,33.3,3.47
FXI,iShares China Large-Cap ETF,2026-07-13,17,34.3524,33.3,3.16
FXI,iShares China Large-Cap ETF,2026-07-14,18,34.3265,33.3,3.08
FXI,iShares China Large-Cap ETF,2026-07-15,19,34.2776,33.3,2.94
FXI,iShares China Large-Cap ETF,2026-07-16,20,34.2636,33.3,2.89
FXI,iShares China Large-Cap ETF,2026-07-17,21,34.3148,33.3,3.05
GOOGL,Alphabet Inc,2026-06-19,1,244.3598,368.03,-33.6
GOOGL,Alphabet Inc,2026-06-22,2,208.5147,368.03,-43.34
GOOGL,Alphabet Inc,2026-06-23,3,195.9837,368.03,-46.75
GOOGL,Alphabet Inc,2026-06-24,4,190.7467,368.03,-48.17
GOOGL,Alphabet Inc,2026-06-25,5,189.0174,368.03,-48.64
GOOGL,Alphabet Inc,2026-06-26,6,191.9122,368.03,-47.85
GOOGL,Alphabet Inc,2026-06-29,7,195.6803,368.03,-46.83
