ticker,name,last_close,dollar_vol_20d,rsi,sma200,wma20,ema9,ema21,macd,macd_signal,below_sma200,below_wma20,cross_up,cross_down,rsi_buy,rsi_sell,p_tbv,tbvps,fcf,debt_to_equity,current_ratio,tbv_yoy,q_ptbv,q_fcf,q_dte,q_cr,q_tbv_growth,value_hit,confluence
LAC,Lithium Americas Corp,3.32,35647592.0,26.7,5.1204,4.4945,3.6634,3.9774,-0.3308,-0.2993,True,True,False,False,True,False,0.8581,3.869,-1303825280.0,0.468,7.36,0.6673,True,False,True,True,True,False,3
STNE,StoneCo Ltd,11.21,43282541.0,55.07,14.558,12.1692,10.9177,10.9068,-0.0246,-0.0602,True,True,True,True,False,False,1.3965,8.0273,2311869440.0,1.3364,1.335,0.4258,False,True,False,True,True,False,3
BNG,Bunge Global SA,0.095,24.0,4.76,189.0882,222.8897,216.2895,239.475,-13.4248,4.8281,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
NSANY,Nissan Motor Co,3.91,1059533.0,43.43,4.7257,4.432,3.8938,4.0131,-0.1463,-0.1636,True,True,False,False,False,False,0.2421,16.1504,-1342245437440.0,1.7018,1.56,-0.1818,True,False,False,True,False,False,2
TV,Grupo Televisa,2.77,2359929.0,51.17,2.8745,2.8655,2.7271,2.7464,-0.0241,-0.0266,True,True,False,False,False,False,0.461,6.0093,2405078272.0,0.8488,2.387,-0.1393,True,True,True,True,False,False,2
KEP,Korea Electric Power,12.39,13740756.0,47.12,15.9507,14.407,12.3242,12.4962,-0.2447,-0.2904,True,True,False,False,False,False,0.4904,25.2632,5256119844864.0,2.5555,0.429,0.211,True,True,False,False,True,False,2
WB,Weibo Corp,7.72,9585845.0,55.14,9.6511,8.3495,7.5536,7.5569,-0.0661,-0.145,True,True,False,False,False,False,0.5134,15.0356,,0.4743,3.021,0.1384,True,False,True,True,True,False,2
BSBR,Banco Santander Brasil,5.39,10580269.0,54.57,5.9185,5.6745,5.2133,5.2562,-0.0646,-0.0824,True,True,False,False,False,False,0.5582,9.6556,,,,0.0609,True,False,False,False,True,False,2
MBGAF,Mercedes-Benz Group AG,50.36,1643993.0,37.43,63.2935,58.308,51.0031,52.2973,-1.5954,-1.7614,True,True,False,False,False,False,0.5714,88.1367,-4120750080.0,1.0452,1.389,-0.0065,True,False,False,True,False,False,2
ERIC,Ericsson LM,11.35,118370909.0,47.07,10.6026,11.6916,11.1819,11.4191,-0.2948,-0.3487,False,True,False,False,False,False,0.7596,14.9425,29486125056.0,0.381,1.121,1.0716,True,True,True,True,True,True,2
LND,BrasilAgro,3.67,162401.0,53.08,3.823,3.89,3.5986,3.621,-0.0382,-0.0542,True,True,False,False,False,False,0.9293,3.949,-162346256.0,0.7074,1.474,-0.0091,True,False,True,True,False,False,2
SPCE,Virgin Galactic Holdings,2.57,118408698.0,41.39,3.2469,3.0545,2.7292,3.0552,-0.3108,-0.2548,True,True,False,False,False,False,0.9352,2.748,-313179616.0,1.6481,1.003,-0.1499,True,False,False,True,False,False,2
PAGS,PagSeguro Digital,9.25,29104357.0,56.24,9.8581,9.6088,9.0039,8.9923,-0.03,-0.0769,True,True,False,False,False,False,1.166,7.9334,5231180800.0,0.1759,1.425,-0.0234,False,True,True,True,False,False,2
BIDU,Baidu Inc,117.53,238537019.0,50.79,127.4692,120.6875,115.067,115.8889,-1.9773,-3.4351,True,True,False,False,False,False,1.3114,89.622,7958624768.0,0.322,1.852,-0.0618,False,True,True,True,False,False,2
