ticker,name,last_close,dollar_vol_20d,rsi,sma200,wma20,ema9,ema21,macd,macd_signal,below_sma200,below_wma20,cross_up,cross_down,rsi_buy,rsi_sell,p_tbv,tbvps,fcf,debt_to_equity,current_ratio,tbv_yoy,q_ptbv,q_fcf,q_dte,q_cr,q_tbv_growth,value_hit,confluence
WB,Weibo Corp,7.33,12499442.0,25.19,9.984,8.755,7.5669,7.7782,-0.2276,-0.2056,True,True,False,False,True,False,0.4924,14.8855,,0.4743,3.021,0.1384,True,False,True,True,True,False,3
AGRO,Adecoagro SA,9.37,10468244.0,26.58,9.9134,11.857,10.1181,11.1093,-0.9446,-0.7114,True,True,False,False,True,False,0.8967,10.3044,-72121248.0,1.1627,1.736,0.0522,True,False,False,True,True,False,3
BABA,Alibaba Group,102.6,1311142849.0,21.53,148.6422,129.1969,109.5003,116.3418,-6.7137,-5.3522,True,True,False,False,True,False,2.1459,49.9089,-44074250240.0,0.2501,1.282,0.0902,False,False,True,True,True,False,3
HMY,Harmony Gold Mining,17.01,75634555.0,51.94,18.199,17.3949,16.7027,16.6924,-0.0422,-0.1351,True,True,True,False,False,False,3.3632,5.0577,15133625344.0,0.2547,0.542,0.1737,False,True,True,False,True,False,3
GLOB,Globant SA,29.28,61533827.0,26.01,53.8532,42.4875,33.5388,36.248,-2.4828,-1.6029,True,True,False,False,True,False,8.9396,3.4386,267834880.0,0.2112,1.818,0.4261,False,True,True,True,True,False,3
ACN,Accenture PLC,127.01,1352780392.0,22.37,223.3247,184.7201,147.7283,161.4348,-11.7256,-6.2722,True,True,False,False,True,False,12.5874,10.1673,12135369728.0,0.2504,1.339,0.4652,False,True,True,True,True,False,3
ADBE,Adobe Inc,197.43,1875486102.0,29.98,293.7965,243.1225,207.4849,223.1709,-14.1242,-9.3561,True,True,False,False,True,False,,,9218374656.0,0.6144,0.751,-4.2318,False,True,True,False,False,False,3
T,AT&T Inc,22.01,1150002332.0,29.64,25.8942,26.3395,22.915,23.5787,-0.7235,-0.6704,True,True,False,False,True,False,,,8849000448.0,1.2517,0.918,,False,True,False,False,False,False,3
BAK,Braskem SA,2.97,9905544.0,29.38,3.4215,3.8578,3.2959,3.631,-0.298,-0.1961,True,True,False,False,True,False,,,-6892624896.0,,0.71,,False,False,False,False,False,False,3
BNG,Bunge Global SA,0.095,24.0,4.76,189.0882,222.8897,216.2895,239.475,-13.4248,4.8281,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
SBS,Cia Saneamento Basico,5.25,34742640.0,25.61,21.3169,17.5583,5.4212,5.8369,-0.8119,-1.1125,True,True,False,False,True,False,,,-10152844288.0,1.1784,1.739,,False,False,False,True,False,False,3
FXI,iShares China Large-Cap ETF,32.83,953026150.0,29.32,37.9987,35.8803,33.8906,34.576,-0.6696,-0.5172,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
NFLX,Netflix Inc,77.38,3243011122.0,28.03,98.3451,89.3035,79.9175,82.687,-2.9244,-2.5915,True,True,False,False,True,False,,,25993676800.0,0.5379,1.407,,False,True,True,True,False,False,3
NSANY,Nissan Motor Co,4.3,826285.0,44.26,4.7983,4.6975,4.3662,4.4441,-0.075,-0.0605,True,True,False,False,False,False,0.262,16.4103,-1249823555584.0,1.7018,1.56,-0.1818,True,False,False,True,False,False,2
