ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct,confidence
MMM,3M Co,2026-06-26,1,167.6864,167.97,-0.17,0.45
MMM,3M Co,2026-06-29,2,167.3,167.97,-0.4,0.45
MMM,3M Co,2026-06-30,3,167.2224,167.97,-0.45,0.45
MMM,3M Co,2026-07-01,4,166.6376,167.97,-0.79,0.45
MMM,3M Co,2026-07-02,5,166.2236,167.97,-1.04,0.45
MMM,3M Co,2026-07-03,6,166.988,167.97,-0.58,0.45
MMM,3M Co,2026-07-06,7,166.8874,167.97,-0.64,0.45
MMM,3M Co,2026-07-07,8,166.7935,167.97,-0.7,0.45
MMM,3M Co,2026-07-08,9,167.2121,167.97,-0.45,0.45
MMM,3M Co,2026-07-09,10,167.2666,167.97,-0.42,0.45
MMM,3M Co,2026-07-10,11,168.0147,167.97,0.03,0.45
MMM,3M Co,2026-07-13,12,167.5764,167.97,-0.23,0.45
MMM,3M Co,2026-07-14,13,167.2737,167.97,-0.41,0.45
MMM,3M Co,2026-07-15,14,167.7168,167.97,-0.15,0.45
MMM,3M Co,2026-07-16,15,167.8576,167.97,-0.07,0.45
MMM,3M Co,2026-07-17,16,167.5021,167.97,-0.28,0.45
MMM,3M Co,2026-07-20,17,168.1408,167.97,0.1,0.45
MMM,3M Co,2026-07-21,18,167.953,167.97,-0.01,0.45
MMM,3M Co,2026-07-22,19,167.6502,167.97,-0.19,0.45
MMM,3M Co,2026-07-23,20,167.7726,167.97,-0.12,0.45
MMM,3M Co,2026-07-24,21,168.3011,167.97,0.2,0.45
ABT,Abbott Laboratories,2026-06-26,1,92.9659,93.24,-0.29,1.0
ABT,Abbott Laboratories,2026-06-29,2,93.2728,93.24,0.04,1.0
ABT,Abbott Laboratories,2026-06-30,3,94.0377,93.24,0.86,1.0
ABT,Abbott Laboratories,2026-07-01,4,94.7286,93.24,1.6,1.0
ABT,Abbott Laboratories,2026-07-02,5,95.9841,93.24,2.94,1.0
ABT,Abbott Laboratories,2026-07-03,6,97.59,93.24,4.67,1.0
ABT,Abbott Laboratories,2026-07-06,7,98.0224,93.24,5.13,1.0
ABT,Abbott Laboratories,2026-07-07,8,98.4445,93.24,5.58,1.0
ABT,Abbott Laboratories,2026-07-08,9,99.294,93.24,6.49,1.0
ABT,Abbott Laboratories,2026-07-09,10,100.2748,93.24,7.54,1.0
ABT,Abbott Laboratories,2026-07-10,11,100.4364,93.24,7.72,1.0
ABT,Abbott Laboratories,2026-07-13,12,101.1469,93.24,8.48,1.0
ABT,Abbott Laboratories,2026-07-14,13,102.0107,93.24,9.41,1.0
ABT,Abbott Laboratories,2026-07-15,14,102.6289,93.24,10.07,1.0
ABT,Abbott Laboratories,2026-07-16,15,102.7805,93.24,10.23,1.0
ABT,Abbott Laboratories,2026-07-17,16,103.009,93.24,10.48,1.0
ABT,Abbott Laboratories,2026-07-20,17,103.5267,93.24,11.03,1.0
ABT,Abbott Laboratories,2026-07-21,18,104.0158,93.24,11.56,1.0
ABT,Abbott Laboratories,2026-07-22,19,104.0536,93.24,11.6,1.0
ABT,Abbott Laboratories,2026-07-23,20,104.148,93.24,11.7,1.0
ABT,Abbott Laboratories,2026-07-24,21,104.2068,93.24,11.76,1.0
ABBV,AbbVie Inc,2026-06-26,1,240.8915,243.14,-0.92,1.0
ABBV,AbbVie Inc,2026-06-29,2,240.1362,243.14,-1.24,1.0
ABBV,AbbVie Inc,2026-06-30,3,239.0564,243.14,-1.68,1.0
ABBV,AbbVie Inc,2026-07-01,4,236.5091,243.14,-2.73,1.0
ABBV,AbbVie Inc,2026-07-02,5,234.8667,243.14,-3.4,1.0
ABBV,AbbVie Inc,2026-07-03,6,233.9174,243.14,-3.79,1.0
ABBV,AbbVie Inc,2026-07-06,7,232.1801,243.14,-4.51,1.0
ABBV,AbbVie Inc,2026-07-07,8,230.2723,243.14,-5.29,1.0
ABBV,AbbVie Inc,2026-07-08,9,230.3775,243.14,-5.25,1.0
ABBV,AbbVie Inc,2026-07-09,10,229.4883,243.14,-5.61,1.0
ABBV,AbbVie Inc,2026-07-10,11,228.9812,243.14,-5.82,1.0
ABBV,AbbVie Inc,2026-07-13,12,227.3985,243.14,-6.47,1.0
ABBV,AbbVie Inc,2026-07-14,13,226.4806,243.14,-6.85,1.0
ABBV,AbbVie Inc,2026-07-15,14,225.4415,243.14,-7.28,1.0
ABBV,AbbVie Inc,2026-07-16,15,224.5509,243.14,-7.65,1.0
ABBV,AbbVie Inc,2026-07-17,16,222.792,243.14,-8.37,1.0
ABBV,AbbVie Inc,2026-07-20,17,222.1982,243.14,-8.61,1.0
ABBV,AbbVie Inc,2026-07-21,18,221.4061,243.14,-8.94,1.0
ABBV,AbbVie Inc,2026-07-22,19,220.617,243.14,-9.26,1.0
ABBV,AbbVie Inc,2026-07-23,20,219.9726,243.14,-9.53,1.0
ABBV,AbbVie Inc,2026-07-24,21,219.3656,243.14,-9.78,1.0
