ticker,name,model,forecast_date,pred_day,pred_close,pred_low,pred_high,last_close,upside_pct
AAPL,Apple Inc,NHITS,2026-06-30,1,282.6287,278.2478,288.3013,282.08,0.19
AAPL,Apple Inc,NHITS,2026-07-01,2,282.8348,277.3528,289.8362,282.08,0.27
AAPL,Apple Inc,NHITS,2026-07-02,3,283.0034,276.5285,291.5304,282.08,0.33
AAPL,Apple Inc,NHITS,2026-07-03,4,284.441,276.5289,292.6084,282.08,0.84
AAPL,Apple Inc,NHITS,2026-07-06,5,285.1409,274.8921,292.4423,282.08,1.09
AAPL,Apple Inc,NHITS,2026-07-07,6,286.0639,277.0464,293.7643,282.08,1.41
AAPL,Apple Inc,NHITS,2026-07-08,7,286.8527,276.1787,294.6003,282.08,1.69
AAPL,Apple Inc,NHITS,2026-07-09,8,287.053,276.8364,295.7902,282.08,1.76
AAPL,Apple Inc,NHITS,2026-07-10,9,287.7871,277.9274,295.2548,282.08,2.02
AAPL,Apple Inc,NHITS,2026-07-13,10,288.8862,279.4401,296.6841,282.08,2.41
AAPL,Apple Inc,NHITS,2026-07-14,11,289.0818,280.074,296.6033,282.08,2.48
AAPL,Apple Inc,NHITS,2026-07-15,12,289.257,281.6233,296.1562,282.08,2.54
AAPL,Apple Inc,NHITS,2026-07-16,13,289.7401,282.6404,296.2818,282.08,2.72
AAPL,Apple Inc,NHITS,2026-07-17,14,290.4814,282.1964,297.1498,282.08,2.98
AAPL,Apple Inc,NHITS,2026-07-20,15,290.6312,281.2803,298.2025,282.08,3.03
AAPL,Apple Inc,NHITS,2026-07-21,16,290.8031,282.1589,299.2178,282.08,3.09
AAPL,Apple Inc,NHITS,2026-07-22,17,291.2722,281.4067,300.1908,282.08,3.26
AAPL,Apple Inc,NHITS,2026-07-23,18,290.9066,281.5228,300.1544,282.08,3.13
AAPL,Apple Inc,NHITS,2026-07-24,19,290.8867,281.567,301.1945,282.08,3.12
AAPL,Apple Inc,NHITS,2026-07-27,20,290.8524,280.7935,301.9241,282.08,3.11
AAPL,Apple Inc,NHITS,2026-07-28,21,290.7281,279.3724,302.7875,282.08,3.07
AAPL,Apple Inc,PatchTST,2026-06-30,1,281.8238,276.9357,289.7547,282.08,-0.09
AAPL,Apple Inc,PatchTST,2026-07-01,2,282.565,275.9753,290.5469,282.08,0.17
AAPL,Apple Inc,PatchTST,2026-07-02,3,283.9523,273.4213,294.3336,282.08,0.66
AAPL,Apple Inc,PatchTST,2026-07-03,4,283.8549,272.3631,296.5061,282.08,0.63
AAPL,Apple Inc,PatchTST,2026-07-06,5,283.9006,273.0212,297.2835,282.08,0.65
AAPL,Apple Inc,PatchTST,2026-07-07,6,283.6713,268.3958,301.0318,282.08,0.56
AAPL,Apple Inc,PatchTST,2026-07-08,7,287.2124,267.652,299.982,282.08,1.82
AAPL,Apple Inc,PatchTST,2026-07-09,8,285.0834,268.1066,300.8452,282.08,1.06
AAPL,Apple Inc,PatchTST,2026-07-10,9,284.1444,266.2951,301.4037,282.08,0.73
