ticker,name,last_close,dollar_vol_20d,rsi,sma200,wma20,ema9,ema21,macd,macd_signal,below_sma200,below_wma20,cross_up,cross_down,rsi_buy,rsi_sell,p_tbv,tbvps,fcf,debt_to_equity,current_ratio,tbv_yoy,q_ptbv,q_fcf,q_dte,q_cr,q_tbv_growth,value_hit,confluence
WB,Weibo Corp,7.2791,10516942.0,29.41,9.8472,8.469,7.3428,7.5569,-0.24,-0.2317,True,True,False,False,True,False,0.4832,15.0356,,0.4743,3.021,0.1384,True,False,True,True,True,False,3
MBGAF,Mercedes-Benz Group AG,49.7,1680337.0,29.56,63.6754,59.1835,51.537,53.8449,-2.2507,-1.7538,True,True,False,False,True,False,0.5669,87.5572,-4120750080.0,1.0452,1.389,-0.0065,True,False,False,True,False,False,3
SHEL,Shell PLC,76.75,524314029.0,26.71,78.9708,85.4829,78.8803,81.4444,-2.4105,-1.7369,True,True,False,False,True,False,1.4731,52.1533,15633999872.0,0.4332,1.275,-0.0332,False,True,True,True,False,False,3
JD,JD.com Inc,25.345,225754101.0,26.68,29.3049,28.2523,26.3085,27.5696,-1.1957,-0.9022,True,True,False,False,True,False,1.5923,15.9042,7005875200.0,0.3848,1.18,-0.0879,False,True,True,True,False,False,3
STLA,Stellantis NV,5.655,116544248.0,25.19,8.9326,7.2193,6.0557,6.5534,-0.4788,-0.3679,True,True,False,False,True,False,1.6002,3.5308,-5823000064.0,0.7866,1.035,-0.6829,False,False,True,True,False,False,3
BASFY,BASF SE,13.45,2277053.0,29.65,13.7082,14.5316,13.7942,14.1372,-0.3497,-0.3006,True,True,False,False,True,False,1.7136,7.8489,-1570625024.0,0.6672,1.913,-0.0048,False,False,True,True,False,False,3
BABA,Alibaba Group,95.7,1355263890.0,19.15,147.73,125.8059,101.5494,109.9578,-8.4051,-6.9205,True,True,False,False,True,False,1.9204,49.9327,-44074250240.0,0.2501,1.282,0.0902,False,False,True,True,True,False,3
TCOM,Trip.com Group,40.53,164149881.0,28.57,61.1644,49.6775,43.5846,45.641,-1.9681,-1.4217,True,True,False,False,True,False,1.9225,20.9686,,0.1882,1.53,0.3905,False,False,True,True,True,False,3
DOW,Dow Inc,27.7,388347118.0,19.7,29.4742,35.1308,30.1419,32.1013,-1.9286,-1.5222,True,True,False,False,True,False,3.2073,8.6489,-675875008.0,1.1713,1.848,-0.0743,False,False,False,True,False,False,3
SID,Cia Siderurgica Nacional,0.9105,6394318.0,26.29,1.5067,1.267,1.0155,1.1134,-0.0918,-0.0662,True,True,False,False,True,False,3.3631,0.2709,-2192784384.0,3.2393,1.11,0.02,False,False,False,True,True,False,3
BP,BP PLC,37.505,336409778.0,28.71,38.5965,42.6891,38.8261,40.5559,-1.6522,-1.24,True,True,False,False,True,False,10.6116,3.5339,10053125120.0,0.9638,1.219,-0.1169,False,True,True,True,False,False,3
ACN,Accenture PLC,128.09,1444636221.0,26.73,220.8991,180.1059,136.0942,150.8403,-14.1121,-10.6766,True,True,False,False,True,False,12.2438,10.4395,12089380864.0,0.2504,1.339,0.4652,False,True,True,True,True,False,3
BAK,Braskem SA,2.515,10163169.0,24.04,3.4054,3.7675,2.8916,3.3144,-0.3979,-0.2965,True,True,False,False,True,False,,,-6892624896.0,,0.71,,False,False,False,False,False,False,3
BNG,Bunge Global SA,0.095,24.0,4.76,189.0882,222.8897,216.2895,239.475,-13.4248,4.8281,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
DTEGY,Deutsche Telekom AG,28.4,17989709.0,23.83,33.0216,33.922,30.1563,31.2216,-0.9937,-0.6975,True,True,False,False,True,False,,,18050500608.0,1.6187,1.18,,False,True,False,True,False,False,3
FXI,iShares China Large-Cap ETF,31.77,941964088.0,25.77,37.854,35.4903,32.6587,33.7052,-1.0062,-0.7568,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
ORCL,Oracle Corp,148.1,5759847009.0,29.45,201.4011,168.8705,164.6594,179.6302,-11.7958,-5.3434,True,True,False,False,True,False,,,-24536750080.0,3.8887,1.115,,False,False,False,True,False,False,3
NSANY,Nissan Motor Co,3.77,986328.0,32.6,4.7694,4.5175,3.9439,4.1658,-0.2057,-0.1461,True,True,False,False,False,False,0.2339,16.2449,-1342245437440.0,1.7018,1.56,-0.1818,True,False,False,True,False,False,2
TV,Grupo Televisa,2.665,2620709.0,40.17,2.8785,2.9002,2.7535,2.7824,-0.0246,-0.0098,True,True,False,True,False,False,0.4421,6.0282,2405078272.0,0.8488,2.387,-0.1393,True,True,True,True,False,False,2
KEP,Korea Electric Power,12.33,15802371.0,43.58,15.994,14.9015,12.4236,12.7101,-0.3558,-0.3718,True,True,False,False,False,False,0.491,25.1409,5256119844864.0,2.5555,0.429,0.211,True,True,False,False,True,False,2
BSBR,Banco Santander Brasil,5.235,9411452.0,42.71,5.9291,5.7598,5.2436,5.3198,-0.0928,-0.0961,True,True,False,False,False,False,0.5448,9.6174,,,,0.0609,True,False,False,False,True,False,2
ERIC,Ericsson LM,10.95,123614447.0,35.58,10.4703,11.6903,11.3318,11.7867,-0.3961,-0.2552,False,True,False,False,False,False,0.7358,14.9425,29486125056.0,0.381,1.121,1.0716,True,True,True,True,True,True,2
GT,Goodyear Tire & Rubber,6.52,56169185.0,56.17,7.6294,6.7405,6.3558,6.2263,0.0778,-0.005,True,True,False,False,False,False,0.799,8.1736,145750000.0,2.5306,1.04,-0.1897,True,True,False,True,False,False,2
LND,BrasilAgro,3.58,188916.0,40.01,3.8342,3.904,3.581,3.6494,-0.0739,-0.068,True,True,False,False,False,False,0.8891,4.0265,-162346256.0,0.7074,1.474,-0.0091,True,False,True,True,False,False,2
AGRO,Adecoagro SA,9.58,9841991.0,32.98,9.9385,11.9055,9.6893,10.5573,-0.9224,-0.8556,True,True,False,False,False,False,0.9297,10.3044,-72121248.0,1.1627,1.736,0.0522,True,False,False,True,True,False,2
LAC,Lithium Americas Corp,3.7003,54280107.0,30.12,5.0994,4.551,4.0487,4.3721,-0.3049,-0.2277,True,True,False,False,False,False,0.9589,3.869,-1303825280.0,0.468,7.36,0.6673,True,False,True,True,True,False,2
SPCE,Virgin Galactic Holdings,2.9673,306477128.0,44.73,3.2712,3.0624,3.1551,3.5016,-0.2311,-0.0314,True,True,False,False,False,False,1.0803,2.748,-313179616.0,1.6481,1.003,-0.1499,False,False,False,True,False,False,2
AIG,American International Group,75.215,331660120.0,50.26,77.0119,76.1,75.3232,75.1425,0.0822,-0.0636,True,True,False,False,False,False,1.083,69.4892,9517249536.0,0.2265,0.611,-0.0369,False,True,True,False,False,False,2
PAGS,PagSeguro Digital,9.155,29334441.0,53.21,9.9053,9.7126,8.9208,8.9707,-0.1121,-0.1793,True,True,False,False,False,False,1.1549,7.9096,5231180800.0,0.1759,1.425,-0.0234,False,True,True,True,False,False,2
BIDU,Baidu Inc,110.315,260432690.0,39.42,127.8972,121.4548,109.9873,116.0063,-6.0429,-5.2081,True,True,False,False,False,False,1.2341,89.5605,7958624768.0,0.322,1.852,-0.0618,False,True,True,True,False,False,2
BBD,Banco Bradesco,3.4697,96527741.0,50.4,3.5458,3.646,3.4229,3.4434,-0.0376,-0.0544,True,True,False,False,False,False,1.2383,2.7982,,,,0.0554,False,False,False,False,True,False,2
PBR,Petrobras,16.25,243818448.0,26.64,15.6308,18.8298,16.7462,17.4844,-0.7948,-0.7394,False,True,False,False,True,False,1.2688,12.8155,82932752384.0,0.8327,0.743,0.1389,False,True,True,False,True,False,2
STNE,StoneCo Ltd,10.925,47134006.0,49.36,14.8748,12.483,10.8598,10.8938,-0.0835,-0.1233,True,True,False,False,False,False,1.3721,7.9404,2311869440.0,1.3364,1.335,0.4258,False,True,False,True,True,False,2
E,ENI SPA,46.61,21125394.0,27.31,43.8968,51.7314,48.2693,50.3712,-1.9123,-1.3059,False,True,False,False,True,False,1.4026,33.26,-939374976.0,0.6736,1.16,-0.0956,False,False,True,True,False,False,2
SUZ,Suzano SA,7.675,25984049.0,31.98,9.3022,9.1111,8.0062,8.1553,-0.1611,-0.1347,True,True,False,False,False,False,1.4456,5.3023,-1823903104.0,2.0235,3.515,0.697,False,False,False,True,True,False,2
MUX,McEwen Mining,17.555,28122846.0,38.82,20.8275,21.8952,18.199,19.1597,-1.0425,-0.9747,True,True,False,False,False,False,1.596,11.015,21460376.0,0.1965,1.136,0.1036,False,True,True,True,True,False,2
TTE,TotalEnergies SE,78.32,130728217.0,27.61,74.3097,85.9804,80.1416,83.4352,-3.1115,-2.3337,False,True,False,False,True,False,1.711,45.8435,10052124672.0,0.513,1.076,-0.0506,False,True,True,True,False,False,2
CVX,Chevron Corp,168.58,1559411148.0,30.66,170.8388,187.1813,174.143,178.9966,-4.4864,-3.1254,True,True,False,False,False,False,1.8595,90.6298,11776499712.0,0.2399,1.094,0.2311,False,True,True,True,True,False,2
PKX,POSCO Holdings,53.02,29826210.0,31.54,59.8676,65.417,55.5358,60.6399,-5.0788,-4.2272,True,True,False,False,False,False,1.8986,27.8944,-1966300200960.0,0.4997,1.898,-0.0063,False,False,True,True,False,False,2
CDE,Coeur Mining,16.025,783505601.0,41.99,18.9731,19.111,16.4899,17.0513,-0.5574,-0.4363,True,True,False,False,False,False,1.9611,8.1638,511841376.0,0.0743,3.731,1.3924,False,True,True,True,True,False,2
XP,XP Inc,16.32,88861541.0,51.36,18.2148,18.1551,15.8772,16.0186,-0.3122,-0.4986,True,True,False,False,False,False,2.0281,8.0172,,6.7735,1.39,0.1938,False,False,False,True,True,False,2
PAAS,Pan American Silver,44.1299,242648285.0,36.17,49.8559,54.3605,46.4227,48.7019,-2.3555,-2.0451,True,True,False,False,False,False,2.5284,17.45,1300125056.0,0.1149,2.84,0.4875,False,True,True,True,True,False,2
HMY,Harmony Gold Mining,15.125,67660478.0,42.98,18.2185,16.8596,15.6378,16.0813,-0.4032,-0.2711,True,True,False,False,False,False,2.9806,5.0577,15133625344.0,0.2547,0.542,0.1737,False,True,True,False,True,False,2
KGC,Kinross Gold,23.625,244188776.0,35.75,28.9195,29.7885,24.9039,26.1299,-1.2894,-1.1279,True,True,False,False,False,False,3.0942,7.619,2846512384.0,0.082,2.842,0.2499,False,True,True,True,True,False,2
NEM,Newmont Corp,93.79,895164481.0,37.74,102.8741,109.5624,97.833,101.1801,-3.3957,-2.8106,True,True,False,False,False,False,3.126,29.9954,9804874752.0,0.1576,2.443,0.1444,False,True,True,True,True,False,2
AEM,Agnico Eagle Mines,153.17,498474903.0,37.11,184.6661,192.1964,159.6849,165.5511,-6.5165,-6.0795,True,True,False,False,False,False,3.496,43.7163,4282917376.0,0.0121,3.148,0.2345,False,True,True,True,True,False,2
VOD,Vodafone Group,13.59,46591580.0,31.38,13.6518,14.8859,14.0799,14.4296,-0.3148,-0.2014,True,True,False,False,False,False,3.7822,3.5839,5167374848.0,1.0015,1.137,-0.2564,False,True,False,True,False,False,2
HL,Hecla Mining,15.2,458909045.0,43.34,17.9103,18.3437,15.4136,15.8893,-0.5837,-0.6295,True,True,False,False,False,False,3.9852,3.8329,277069760.0,0.1109,4.94,0.2707,False,True,True,True,True,False,2
EQNR,Equinor ASA,31.22,129625025.0,29.01,29.5935,36.0826,32.4579,34.2548,-1.725,-1.3311,False,True,False,False,True,False,4.0188,7.7685,18090625024.0,0.73,1.239,-0.049,False,True,True,True,False,False,2
PYPL,PayPal Holdings,44.5901,708301480.0,57.28,53.9439,45.063,43.0712,43.073,-0.3142,-0.7247,True,True,False,False,False,False,4.3614,10.1767,4083500032.0,0.5828,1.259,-0.0076,False,True,True,True,False,False,2
NKE,Nike Inc,41.105,959940694.0,37.7,57.3428,47.6258,42.2897,43.2243,-0.7966,-0.3873,True,True,False,False,False,False,4.4807,9.1605,1313874944.0,0.7933,2.139,-0.0874,False,True,True,True,False,False,2
COIN,Coinbase Global,148.225,1362770753.0,37.93,233.4653,178.9293,154.0604,162.2635,-8.7426,-7.949,True,True,False,False,False,False,4.6252,31.9186,2407562752.0,0.5908,2.141,0.015,False,True,True,True,True,False,2
VIV,Telefonica Brasil,13.36,13484517.0,49.67,13.7004,14.6969,13.226,13.2742,-0.1503,-0.2624,True,True,False,False,False,False,5.2249,2.5571,,0.2848,1.099,-0.0333,False,False,True,True,False,False,2
NXE,NexGen Energy,9.49,67575900.0,37.24,10.543,11.393,9.9973,10.3759,-0.407,-0.3693,True,True,False,False,False,False,5.2536,1.8064,-280498752.0,0.4247,1.366,0.5539,False,False,True,True,True,False,2
NU,Nu Holdings Ltd,13.19,730172532.0,57.21,15.3143,13.85,12.7501,12.6655,-0.03,-0.1823,True,True,False,False,False,False,5.5639,2.3563,,,,0.4932,False,False,False,False,True,False,2
SONY,Sony Corp,20.3851,118483879.0,46.53,24.3089,21.0528,20.0845,20.5939,-0.4881,-0.3933,True,True,False,False,False,False,6.0289,3.3762,-1357953368064.0,0.1951,1.182,-0.1397,False,False,True,True,False,False,2
NG,NovaGold Resources,6.015,30358685.0,32.81,9.1887,8.8397,6.7761,7.2988,-0.4978,-0.3536,True,True,False,False,False,False,6.2708,0.96,-23863124.0,0.4141,112.823,,False,False,True,True,False,False,2
DIS,Walt Disney Co,99.2,1027807149.0,44.01,106.3701,101.4665,100.3037,100.9625,-0.6405,-0.4866,True,True,False,True,False,False,6.3897,15.4811,3751375104.0,0.4107,0.679,0.6417,False,True,True,False,True,False,2
DOCU,DocuSign Inc,46.23,237135763.0,50.96,57.7909,46.7135,44.5247,45.5376,-1.1107,-1.1465,True,True,False,False,False,False,6.6948,6.871,1250368768.0,0.1007,0.665,-0.0502,False,True,True,False,False,False,2
META,Meta Platforms,567.38,10705611906.0,44.34,648.4036,608.6262,564.1315,578.3908,-14.9779,-13.4452,True,True,False,False,False,False,6.7679,83.5382,25558249472.0,0.3561,2.348,0.1735,False,True,True,True,True,False,2
GFI,Gold Fields Ltd,33.16,146195767.0,37.57,43.4255,43.1663,34.4646,36.342,-2.003,-1.7761,True,True,False,False,False,False,7.045,4.714,2546112512.0,0.3714,1.793,0.6212,False,True,True,True,True,False,2
