ticker,name,last_close,rating,murphy_score,trend_score,osc_score,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,williams_r,roc,macd,sma50,sma200,atr,sig_ma_cross,sig_ma_align,sig_adx_di,sig_macd,sig_obv,sig_donchian,sig_rsi,sig_stoch,sig_williams,sig_roc
AMZN,Amazon.com Inc,245.995,HOLD,0,0,0,32.91,23.26,26.93,50.52,38.52,20.08,-17.83,3.36,-5.7363,256.0547,232.8459,8.3358,1,0,-1,-1,1,0,0,0,-1,1
CAR,Avis Budget Group,162.93,HOLD,0,0,0,13.0,22.02,27.44,40.39,6.62,16.76,-93.75,-12.79,-3.9411,203.8804,158.0206,12.9472,1,-1,0,-1,1,0,0,0,1,-1
GOLD,Barrick Gold Corp,40.56,HOLD,0,0,0,13.09,24.54,20.17,43.76,23.83,31.54,-96.28,-0.49,-0.1943,42.7253,38.8965,1.7571,1,-1,0,-1,1,0,0,0,1,-1
HMC,Honda Motor Co,27.145,HOLD,0,0,0,13.61,38.67,27.7,57.42,63.91,38.37,-11.85,3.96,0.1475,25.6827,28.6327,0.5984,-1,1,0,-1,1,0,0,0,-1,1
MELI,MercadoLibre Inc,1719.0701,HOLD,0,0,0,10.39,29.52,17.42,57.16,69.75,59.42,-12.65,8.23,-4.3354,1692.4478,1951.8184,64.4952,-1,0,0,0,1,0,0,0,-1,1
PEP,PepsiCo Inc,140.21,HOLD,0,0,0,19.89,15.12,24.38,40.91,12.89,19.49,-89.84,-2.85,-1.6955,147.3493,148.606,2.9051,-1,-1,0,1,1,0,0,0,1,-1
TJX,TJX Companies,153.715,HOLD,0,0,0,27.29,15.92,29.36,37.06,6.52,25.0,-95.6,-8.32,0.2628,157.5166,152.5894,3.819,1,0,-1,-1,1,0,0,0,1,-1
V,Visa Inc,344.325,HOLD,0,0,0,16.72,29.8,13.04,67.2,79.21,73.75,-5.12,6.62,3.7659,323.4917,328.1595,7.3392,-1,1,0,1,-1,0,0,0,-1,1
AMD,Advanced Micro Devices,507.73,HOLD,0,-1,1,23.86,28.3,19.07,53.1,66.31,68.28,-43.94,12.23,22.1638,443.71,272.2066,33.6044,1,0,0,-1,-1,0,0,0,0,1
BHP,BHP Group,80.85,HOLD,0,-1,1,18.67,26.85,39.61,40.5,9.08,8.29,-92.06,-2.53,-0.8785,84.4346,68.1115,2.5057,1,0,0,-1,-1,0,0,1,1,-1
XLY,Consumer Discretionary Select Sector ETF,117.51,HOLD,0,-1,1,11.74,27.46,23.58,52.91,30.51,19.91,-31.35,3.54,-0.6184,117.6532,117.3316,2.2923,1,0,0,-1,-1,0,0,0,0,1
CAAP,Corp America Airports,25.66,HOLD,0,-1,1,16.65,19.87,21.33,46.74,24.76,28.8,-75.9,2.68,0.1029,25.5804,24.608,1.0098,1,0,0,-1,-1,0,0,0,0,1
FNMA,Fannie Mae,6.82,HOLD,0,-1,1,16.22,24.56,17.35,49.89,67.93,65.81,-43.04,10.53,-0.0989,7.2384,9.0283,0.5075,-1,0,0,1,-1,0,0,0,0,1
FDX,FedEx Corp,323.2,HOLD,0,-1,1,14.67,16.27,25.65,48.9,44.95,38.07,-56.38,1.24,0.1278,318.2258,303.6999,10.4583,1,0,0,-1,-1,0,0,0,0,1
FSLR,First Solar Inc,229.97,HOLD,0,-1,1,23.47,17.3,28.81,38.05,6.15,5.9,-95.06,-7.74,-3.1966,242.48,234.5994,15.1956,1,0,0,-1,-1,0,0,1,1,-1
GM,General Motors,78.0,HOLD,0,-1,1,11.83,22.81,22.43,44.0,4.04,3.79,-93.68,-1.76,-0.2374,79.0661,74.7695,2.4837,1,0,0,-1,-1,0,0,1,1,-1
HSY,Hershey Co,179.3,HOLD,0,-1,1,22.07,22.67,30.78,46.65,60.76,61.4,-30.96,1.52,-2.7658,185.2117,192.4294,5.1743,-1,0,0,1,-1,0,0,0,0,1
HWM,Howmet Aerospace,268.565,HOLD,0,-1,1,20.51,21.25,21.79,52.75,56.47,61.5,-47.0,7.65,4.7051,258.6883,226.2581,9.2072,1,0,0,-1,-1,0,0,0,0,1
IFF,Intl Flavors & Fragrances,75.48,HOLD,0,-1,1,18.86,22.3,21.47,50.62,40.58,43.17,-72.94,2.22,0.3839,74.4685,69.6728,2.2741,1,0,0,-1,-1,0,0,0,0,1
SPY,SPDR S&P 500 ETF Trust,737.9,HOLD,0,-1,1,23.81,15.57,31.34,50.37,42.77,38.49,-44.12,1.98,0.2939,733.5759,688.6343,10.4938,1,0,0,-1,-1,0,0,0,0,1
PAGS,PagSeguro Digital,9.155,HOLD,0,-1,1,12.36,24.47,17.99,53.21,58.87,44.87,-22.01,7.08,-0.1121,9.4183,9.9053,0.3111,-1,0,0,1,-1,0,0,0,0,1
SIEGY,Siemens AG,152.31,HOLD,0,-1,1,11.96,26.1,35.01,46.3,42.65,47.56,-66.16,2.48,0.3417,152.9832,141.9406,3.5045,1,0,0,-1,-1,0,0,0,0,1
STNE,StoneCo Ltd,10.925,HOLD,0,-1,1,16.14,26.51,17.44,49.36,37.0,34.32,-64.73,3.07,-0.0835,11.0522,14.8748,0.4305,-1,0,0,1,-1,0,0,0,0,1
XLK,Technology Select Sector ETF,182.32,HOLD,0,-1,1,19.31,21.44,28.03,49.51,45.69,46.83,-55.93,3.22,1.7975,176.651,150.678,5.7298,1,0,0,-1,-1,0,0,0,0,1
XP,XP Inc,16.32,HOLD,0,-1,1,17.06,25.89,19.01,51.36,62.28,51.82,-25.85,9.24,-0.3122,17.2485,18.2148,0.5993,-1,0,0,1,-1,0,0,0,0,1
CX,Cemex SAB,11.95,HOLD,0,-2,2,14.86,22.41,30.15,41.64,33.29,33.42,-81.22,1.51,-0.1094,12.5621,11.3598,0.4164,1,-1,0,-1,-1,0,0,0,1,1
NEM,Newmont Corp,93.79,HOLD,0,-2,2,15.73,22.06,33.81,37.74,15.23,16.45,-91.22,1.1,-3.3957,107.5356,102.8741,4.419,1,-1,0,-1,-1,0,0,0,1,1
